"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Overall","Grade"
"82",76,80,100,95,90,93,89,87.5,80,12,12,12,14,17,55.2,66.6,69,74,89.3125,85,81.84375,"B-"
"83",82.5,85,92.5,95,90,100,100,100,80,12,8,10,17,0,62.4,47.25,78,52.5,93.125,69.0740740740741,77.0236111111111,"C"
"84",77.5,62.5,97.5,80,0,83,100,75,70,11,8,8,14,16,67.2,69.3,84,77,80.6875,72.2222222222222,81.0895833333333,"B-"
"85",77.5,100,100,100,100,99,92,100,98,12,11,18,18,20,76,85.5,95,95,98.625,97.2222222222222,96.9208333333333,"A+"
"86",87.5,85,92.5,80,100,99,0,100,75,12,12,18,12,20,75.2,70.2,94,78,89.875,100,90.2625,"A"
"87",67.5,95,82.5,95,60,79,89,100,85,12,10,15,13.5,19,76.8,81.9,96,91,86.625,87.2222222222222,91.0208333333333,"A"
"88",30,0,0,100,85,91,77,85,85,12,3,10,5,6,38.4,38.7,48,43,69.125,36.8518518518519,56.6152777777778,"D"
"89",92.5,100,100,0,100,100,0,100,100,12,11,18,20,20,64,78.3,80,87,86.5625,100,88.71875,"A-"
"90",82.5,0,95,100,95,99,100,100,100,9,9,13,16,19,70.4,75.6,88,84,96.4375,83.3333333333333,86.03125,"B+"
"91",77.5,97.5,100,70,0,96,100,80,75,12,8,2,9,15,48.8,49.5,61,55,87,62.2222222222222,71.3833333333333,"C"
"92",80,75,0,67.5,77.5,87,100,82.5,90,11,10,15,18,18,57.6,72.9,72,81,82.4375,87.7777777777778,82.5479166666667,"B"
"93",0,85,80,75,100,78,0,90,0,12,11,7,15,0,58.4,37.35,73,41.5,63.5,68.5185185185185,64.3027777777778,"C-"
"94",87.5,85,92.5,85,95,91,92,90,90,12,11,9,0,17,64,65.7,80,73,90.375,75.5555555555556,82.6958333333333,"B"
"95",73.5,0,92.5,90,80,0,100,100,75,12,10,13,13,19,70.4,65.7,88,73,76.375,83.5185185185185,81.2902777777778,"B-"
"96",79,95,92.5,65,72.5,91,100,0,76,11,4,14,19,19,59.2,75.6,74,84,83.875,89.2592592592593,84.3513888888889,"B"
"97",0,0,0,42.5,0,0,0,0,0,10,7,0,0,0,42.4,35.55,53,39.5,5.3125,19.4444444444444,32.9854166666667,"F"
"98",100,97.5,100,90,100,99,100,100,100,12,12,14,18,19,69.6,84.6,87,94,99.5625,95,95.01875,"A+"
"99",92.5,95,100,0,100,93,90,85,100,12,10,18,14,16,65.6,80.55,82,89.5,94.4375,87.7777777777778,90.2729166666667,"A"
"100",96,97.5,100,0,100,89,97,100,99,12,12,12,16,19,73.6,78.3,92,87,97.3125,91.6666666666667,93.09375,"A"
"101",45,77.5,67.5,70,90,71,89,90,85,12,4,13,9.5,14,57.6,63.9,72,71,80,63.2407407407407,75.6361111111111,"C"
"102",0,85,85,67.5,90,88,96,75,95,12,7,12,10,0,48.8,40.95,61,45.5,85.1875,58.3333333333333,67.88125,"C-"
"103",85,92.5,100,100,95,90,100,97.5,100,12,12,14,15,12,62.4,61.2,78,68,96.875,84.2592592592593,84.3013888888889,"B"
"104",82.5,70,100,65,97,71,78,85,85,11,9,7,11,16,70.4,55.8,88,62,83.5625,70,78.66875,"C+"
"105",92.5,92.5,100,80,95,97,97,95,80,12,10,10,15,18,57.6,54.9,72,61,93.625,82.7777777777778,80.1541666666667,"B-"
"106",55,85,100,100,60,100,80,90,90,12,11,14,17,20,71.2,76.5,89,85,88.125,92.2222222222222,89.3208333333333,"A-"
"107",92.5,77.5,92.5,100,100,96,89,97.5,99,12,10,13,16,20,58.4,71.55,73,79.5,95.8125,87.7777777777778,86.3854166666667,"B+"
"108",62.5,97.5,82.5,67.5,90,98,100,80,100,12,9,13,11.5,15,55.2,50.4,69,56,89.4375,74.0740740740741,75.7423611111111,"C"
"109",100,100,92.5,100,100,0,94,85,0,10,5,15,14,0,71.2,75.6,89,84,83.9375,65,81.73125,"B-"
"110",87.5,92.5,100,90,87,96,94,95,70,12,11.5,15,14,3,64.8,42.3,81,47,92.75,83.0555555555556,78.2333333333333,"C+"
"111",92.5,100,100,100,100,99,100,100,97,12,12,18,20,20,64.8,88.2,81,98,99.5,100,95.55,"A+"
"112",95,96,100,100,100,97,30,95,98,12,11,8,16,19,44,63.9,55,71,97.625,88.8888888888889,81.3708333333333,"B-"
"113",77.5,95,97.5,80,100,94,99,100,85,12,10,16,12,20,60.8,72.9,76,81,93.8125,90.7407407407407,87.2048611111111,"B+"
"114",88.5,97,100,90,100,99,97,100,85,12,8,16,19,13,57.6,72.9,72,81,96.4375,83.5185185185185,86.1090277777778,"B+"
"115",72.5,62.5,100,99,100,0,0,100,99,10,11,15,0,17,62.4,78.75,78,87.5,79.125,86.6666666666667,82.2125,"B"
"116",87,100,92.5,80,100,89,50,80,98,12,10,0,12,17,66.4,82.8,83,92,90.8125,76.1111111111111,88.2604166666667,"A-"
"117",75,100,100,90,100,95,97,95,85,12,11,12,13,19,62.4,60.3,78,67,95.25,84.4444444444444,83.5916666666667,"B"
"118",92.5,85,85,0,95,99,81,90,75,12,11,17,9,18,52.8,75.15,66,83.5,87.8125,92.037037037037,84.2243055555556,"B"
"119",84,100,87.5,70,100,97,100,90,100,12,10,11,19,16,42.4,55.35,53,61.5,94.8125,86.1111111111111,77.3354166666667,"C"
"120",77.5,95,95,95,90,89,99,90,85,12,12,14,18,20,71.2,87.3,89,97,92.25,96.6666666666667,94.225,"A"
"121",62.5,90,52.4,90,54,75,25,0,60,11,6,2,0,1,21.6,23.4,27,26,63.6125,22.037037037037,44.2893055555556,"F"
"122",80,85,85,90,72,95,92,100,60,12,9.5,13,11,18,65.6,65.7,82,73,87.375,80.462962962963,82.9319444444445,"B"
"123",0,62.5,10,55,66,0,0,60,30,7,9,0,3,8,32.8,29.25,41,32.5,35.4375,43.3333333333333,35.45625,"F"
"124",87.5,85,100,100,95,90,100,90,80,12,12,15,13,19,49.6,62.1,62,69,93.4375,92.7777777777778,81.5979166666667,"B-"
"125",77.5,95,75,100,100,90,97.5,95,100,12,12,16,19,17,56,73.8,70,82,94.375,94.6296296296296,87.0069444444444,"B+"
"126",92.5,100,100,100,100,93,88,100,80,12,8,5,15,18,64.8,69.75,81,77.5,96.6875,77.2222222222222,86.1645833333333,"B+"
"127",88.5,100,100,100,100,99,100,100,100,12,12,18,17,18,68,77.4,85,86,99.875,96.6666666666667,92.9625,"A"
"128",50,100,97.5,75,76.25,94,77,93.5,75,12,11,18,18,20,70.4,76.5,88,85,86.03125,97.2222222222222,89.2427083333333,"A-"
"129",80,100,77.5,77.5,95,90,95,80,0,9,8,14,13.5,0,76,58.95,95,65.5,86.875,70.6481481481482,78.0347222222222,"C+"
"130",77.5,90,100,100,90,95,97,100,100,12,9,14,16,18,64.8,59.85,81,66.5,96.5,82.5925925925926,84.1638888888889,"B"
"131",86,97.5,100,90,100,98,97,100,100,12,10,18,18,20,77.6,80.1,97,89,97.8125,96.6666666666667,95.49375,"A+"
"132",100,100,97.5,100,100,100,100,100,100,12,12,18,20,20,80,85.5,100,95,100,100,98.75,"A+"
"133",95,85,100,100,100,93,100,90,100,12,12,18,18,20,72,84.6,90,94,97.25,100,95.675,"A+"
"134",100,99,100,90,100,99,100,95,99,12,12,16,19,19,72,78.3,90,87,99,96.6666666666667,93.95,"A"
"135",60,100,92.5,100,100,94,100,80,100,12,9,9,9,13,62.4,75.6,78,84,95.8125,63.3333333333333,84.84375,"B"
"136",87.5,92.5,100,80,95,89,95,95,90,12,10,14,13,14,55.2,79.2,69,88,93,77.0370370370371,85.2555555555555,"B"
"137",99,83,92.5,98,100,0,0,0,0,6,4,3,0,0,29.6,12.6,37,14,59.0625,16.6666666666667,31.11875,"F"
"138",100,100,100,100,100,100,0,100,96,11,9,14,11,16,64.8,58.5,81,65,99.5,77.5925925925926,83.9388888888889,"B"
"139",82.5,100,93.5,100,100,95,80,90,100,12,8,16,14,17,63.2,63.45,79,70.5,95.125,81.2962962962963,84.1569444444444,"B"
"140",52.5,100,82.5,90,100,94,100,75,85,12,11,9,8.5,17,66.8,74.25,83.5,82.5,90.8125,75.5555555555556,85.9020833333333,"B"
"141",60,70,85,75,0,0,0,0,0,3,8,14,0,19,67.2,65.7,84,73,36.25,79.8148148148148,57.8972222222222,"D"
"142",90,0,70,90,0,44,0,40,55,10,11,14,11,13,43.2,49.5,54,55,48.625,78.1481481481482,58.8597222222222,"D"
"143",87.5,100,100,100,100,100,100,100,80,12,12,18,13,20,80,84.6,100,94,98.4375,100,98.03125,"A+"
"144",92.5,100,100,70,100,100,92,100,80,12,11,17,17,17,60.8,50.85,76,56.5,95.5625,90.3703703703704,81.5493055555555,"B-"
"145",87.5,60,100,100,95,92,79,95,100,12,7,12,14,19,60,76.5,75,85,93.5625,77.2222222222222,85.9020833333333,"B"
"146",85,95,100,100,95,100,89,97.5,85,12,11,12,16.5,20,72,79.2,90,88,95.1875,91.3888888888889,92.2645833333333,"A"
"147",83.5,100,0,90,70,94,76,100,100,12,12,11,18,19,60,67.05,75,74.5,89.1875,95,84.63125,"B"
"148",85,100,92.5,100,95,100,90,65,100,12,8,18,15,17,66.4,79.2,83,88,95.3125,86.6666666666667,90.19375,"A"
"149",92.5,100,92.5,70,100,82,86,60,100,12,8,12,8,9,69.6,63.9,87,71,90.375,59.4444444444444,81.1791666666667,"B-"
"150",92.5,97.5,95,100,91.25,100,94,100,95,12,10,14,8,19,62.4,66.6,78,74,96.75,85.3703703703704,85.9305555555556,"B"
"151",86,100,100,90,100,92.5,0,90,100,12,7,6,17,18,32.8,66.6,41,74,94.8125,77.7777777777778,76.8104166666667,"C"
"152",92.5,100,0,90,100,100,89,100,100,12,10,13,16,19,70.4,77.4,88,86,96.4375,86.1111111111111,90.9479166666667,"A"
"153",82.5,80,95,90,100,98,92,100,85,11,11,16,12,18,68,72.9,85,81,92.8125,90.1851851851852,88.6215277777778,"A-"
"154",85,42.5,0,0,0,66,0,0,80,6,10,12,0,14,52,43.2,65,48,34.1875,73.3333333333333,46.25625,"F"
"155",77.5,100,97.5,65,72,81,97,100,75,10,9.5,9,0,17,64.8,62.1,81,69,87.5,71.3888888888889,78.4083333333333,"C+"
"156",70,80,90,100,90,0,90,90,85,12,11,0,15,18,36,46.8,45,52,86.875,85.5555555555555,70.8958333333333,"C"
"157",77.5,92.5,95,90,0,95,94,100,100,10,8,16,14,9,66.4,70.2,83,78,93,75.1851851851852,83.2777777777778,"B"
"158",92.5,97.5,100,100,100,99,97,100,100,12,11,11,17,14,57.6,72.9,72,81,99.1875,82.2222222222222,86.7395833333333,"B+"
"159",89.5,100,97.5,80,96.25,96,51,85,100,12,12,12,15,17,69.6,74.7,87,83,93.03125,86.6666666666667,89.059375,"A-"
"160",89,100,55,98,100,83,100,0,97,9,9,11,0,20,70.4,69.3,88,77,90.25,78.7037037037037,81.7305555555556,"B-"
"161",65,82.5,87.5,85,95,95,100,90,80,12,11,14,15,19,70.4,78.3,88,87,89.375,88.1481481481482,89.3847222222222,"A-"
"162",92.5,100,100,70,100,100,91,80,90,12,12,12,12,18,68.8,73.35,86,81.5,94.1875,85.5555555555555,88.6645833333333,"A-"
"163",92.5,97.5,100,0,100,99,94,90,100,12,11,16,16,19,71.2,79.2,89,88,96.625,91.8518518518518,92.5652777777778,"A"
"164",92.5,82,92.5,75,100,99,76,90,89,12,12,15,16,8,67.2,78.3,84,87,90.125,87.7777777777778,88.7541666666667,"A-"
"165",70,78,95,0,90,97,100,80,100,11,9,5,10,11,64.8,63.9,81,71,88.75,60,79.575,"B-"
"166",80,57.5,100,60,80,78,70,95,94,12,10,12,14,18,68.8,64.35,86,71.5,82.125,81.1111111111111,81.8791666666667,"B-"
"167",92.5,100,92.5,95,100,97,97,100,85,12,7,9,10.5,12,68,63,85,70,96.75,56.9444444444444,82.0666666666667,"B"
"168",82.5,100,100,100,100,98,71,100,91,12,11,15,16,19,69.6,80.1,87,89,96.4375,90,92.08125,"A"
"169",80,0,95,0,55,0,0,0,75,7,10,0,0,13,53.6,60.75,67,67.5,38.125,49.4444444444444,51.1291666666667,"D"
"170",42.5,52.5,90,72.5,100,95,88,80,85,12,10,16,8.5,16,65.6,63,82,70,82.875,84.0740740740741,81.3736111111111,"B-"
"171",80,92.5,100,90,100,94,85,90,85,11,11,16,15,20,66.4,57.15,83,63.5,92.0625,93.5185185185185,84.1215277777778,"B"
"172",70,100,92.5,82.5,100,99,97,90,85,12,9,15,16,18,69.6,80.1,87,89,93.25,84.4444444444444,90.2916666666667,"A"
"173",90,100,100,100,95,99,100,100,100,12,11,18,16,18,70.4,74.7,88,83,99.25,93.8888888888889,92.2083333333333,"A"
"174",70,92.5,90,85,95,99,88,90,90,12,11,16,15,18,69.6,65.7,87,73,91.1875,90.1851851851852,86.5340277777778,"B+"
"175",100,100,85,90,85,89,92,95,95,12,12,17,16,20,79.2,81.9,99,91,93.25,98.1481481481482,95.2472222222222,"A+"
"176",100,100,92.5,80,100,98,100,80,100,10,12,0,18,0,70.4,82.8,88,92,96.3125,63.3333333333333,86.99375,"B+"
"177",40,0,82.5,0,70,0,52,0,98,12,7,11,0,15,46.4,36,58,40,42.8125,64.8148148148148,54.1659722222222,"D"
"178",92.5,100,92.5,90,100,96,85,90,85,12,10,16,16,15,60,70.65,75,78.5,93.25,84.0740740740741,85.2111111111111,"B"
"179",92.5,85,100,85,95,100,92,90,75,12,11,11,16,20,71.2,74.7,89,83,92.4375,90.5555555555556,89.8645833333333,"A-"
"180",87,100,100,100,100,93,91,80,98,10,10,16,10,17,48,54,60,60,96.125,85.7407407407407,76.6986111111111,"C"
"181",75,97.5,67.5,80,95,90,58,100,85,12,12,14,13.5,17,57.6,56.7,72,63,86.25,87.5925925925926,79.1638888888889,"C+"
"182",100,100,92.5,90,95,95,100,100,80,12,10,18,16,20,72,80.1,90,89,96.5625,94.4444444444445,93.3854166666667,"A"
"183",85,85,85,85,85,72,85,65,80,6,9,7,12,14,48.8,54.9,61,61,82.75,68.3333333333333,62.525,"C-"
"184",92.5,70,90,75,100,100,84,100,75,12,12,16,17,19,69.6,66.6,87,74,89.5625,94.6296296296296,86.9631944444444,"B+"
"185",85,99,92.5,0,0,0,0,0,0,3,5,0,0,0,75.2,66.6,94,74,34.5625,13.8888888888889,49.7520833333333,"F"
"186",80,100,100,0,90,0,100,70,0,10,10,0,6,14,64,55.35,80,61.5,67.5,61.1111111111111,68.7916666666667,"C-"
"187",65,100,55,90,100,86.5,100,85,85,9,10,16,10.5,18,68,60.3,85,67,88.9375,87.4074074074074,79.5423611111111,"B-"
"188",60,100,92.5,100,95,71,90,92.5,85,10,11,16,10.5,20,72,74.25,90,82.5,90.75,93.5185185185185,87.8777777777778,"B+"
"189",75,100,100,100,100,95,100,100,100,12,12,16,16.5,20,66.4,76.05,83,84.5,99.375,96.2962962962963,91.9819444444445,"A"
"190",67.5,80,77.5,47.5,100,80,76,77.5,80,12,10,14,15,16,44,64.35,55,71.5,79.8125,80.3703703703704,74.8743055555556,"C"
"191",73.5,70,92.5,80,100,97,90,100,96,12,8,11,15,17,65.6,73.8,82,82,91.125,75.5555555555556,85.5708333333333,"B"
"192",75,90,95,70,85,85,0,62.5,100,12,10,16,8,16,59.2,68.4,74,76,82.8125,84.0740740740741,81.2548611111111,"B-"
"193",70,97.5,100,70,100,100,97,95,85,12,11,9,16,14,61.2,64.8,76.5,72,93.0625,80.5555555555556,83.3020833333333,"B"
"194",82.5,100,100,100,97,100,100,90,75,12,11,13,13,16,62.4,57.15,78,63.5,96.1875,81.2962962962963,82.5256944444444,"B"
"195",91.5,97.5,98,90,92,95,62,95,90,12,8,8,18,18,64,65.25,80,72.5,93.625,82.2222222222222,84.5458333333333,"B"
"196",100,72.5,100,100,100,99,97,100,100,12,8,18,17,10,66.4,67.5,83,75,99.5,83.8888888888889,87.7833333333333,"B+"
"197",95,100,100,100,100,89,98,85,100,12,11,12,12,16,52.8,63.9,66,71,97.75,79.4444444444444,82.1916666666667,"B"
"198",62.5,0,0,0,65,76,71,90,97.5,9,0,8,11,20,68,34.2,85,38,57.75,66.4814814814815,59.7972222222222,"D"
